Iteration Step: -1
Iteration Step: 5760
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5770
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5780
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5790
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5800
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5810
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5820
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5830
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5840
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5850
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5860
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5870
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5880
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5890
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5900
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5910
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5920
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5930
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5940
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5950
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5960
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5970
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
0.613514 -0.031526 -0.889767 
0.834101 -0.062166 -0.071444 
-0.875484 -0.253456 -0.304605 
0.151402 0.930723 -0.632008 
0.361431 0.606861 -0.791314 
-0.414472 -0.609302 -0.406842 
0.926939 0.692373 -0.009308 
-0.796319 -0.188330 -0.838557 
-0.919919 0.112522 0.679006 
0.507614 0.236976 -0.575915 
-0.652333 -0.352886 0.479415 
0.804071 0.778802 0.069185 
0.081027 -0.572924 -0.931700 
-0.092563 0.708548 0.265603 
-0.664357 -0.039460 -0.476608 
-0.507859 -0.344890 -0.705680 
-0.748772 -0.531602 0.885983 
-0.358867 -0.218970 0.559008 
0.568285 -0.875179 0.073153 
0.386029 0.044404 0.151769 
0.278420 -0.293985 -0.873470 
0.572130 0.049043 -0.033174 
-0.071627 -0.406110 0.458968 
0.447127 0.786187 -0.047761 
-0.980163 -0.697195 -0.904843 
0.220435 0.027253 0.719657 
0.531846 -0.048921 0.139195 
0.717704 0.492965 0.640126 
-0.920591 0.636097 -0.905271 
Iteration Step: 5980
-0.584216 -0.621754 -0.031343 
0.231788 -0.182104 -0.076510 
0.080966 -0.342814 0.654592 
